property_id,transaction_date,transaction_price,census_tract_2010,cbsa_id
PROP000000,2017-08-21,293611.1842654619,06037100006,31080
PROP000000,2019-04-05,333492.34376843134,06037100006,31080
PROP000001,2016-12-21,570488.9057766299,06037100001,31080
PROP000001,2020-06-01,709578.9328429082,06037100001,31080
PROP000002,2017-11-10,227999.39792816926,06037100011,31080
PROP000003,2017-12-23,789938.5314840729,06037100015,31080
PROP000004,2019-09-07,207958.9766959199,06037100002,31080
PROP000005,2015-10-21,338536.2953732894,06037100013,31080
PROP000005,2017-10-06,385924.1314138387,06037100013,31080
PROP000006,2018-02-08,653216.8461905915,06037100002,31080
PROP000006,2020-10-20,807378.3438463405,06037100002,31080
PROP000007,2016-10-12,763699.3649385135,06037100003,31080
PROP000008,2018-09-08,706720.3092068909,06037100003,31080
PROP000009,2016-09-13,284554.5349848576,06037100014,31080
PROP000009,2020-11-27,330845.80369234906,06037100014,31080
PROP000009,2021-12-05,351904.47912089754,06037100014,31080
PROP000010,2017-03-01,563575.9848686068,06037100010,31080
PROP000011,2015-12-07,710023.1466738796,06037100009,31080
PROP000011,2018-09-23,803257.8881170793,06037100009,31080
PROP000012,2017-03-01,429756.1248522739,06037100004,31080
PROP000013,2016-07-14,496277.3578186344,06037100002,31080
PROP000013,2019-08-16,551307.3534806579,06037100002,31080
PROP000014,2018-03-07,485222.133909267,06037100014,31080
PROP000015,2019-11-04,765712.1423347886,06037100003,31080
PROP000016,2016-10-13,377380.2115026284,06037100018,31080
PROP000017,2018-12-20,735535.3990939867,06037100005,31080
PROP000018,2015-09-27,456264.6731757538,06037100006,31080
PROP000018,2020-01-03,450245.96547771,06037100006,31080
PROP000018,2021-11-22,499855.22003477387,06037100006,31080
PROP000019,2017-06-24,621811.3753371068,06037100018,31080
PROP000020,2016-04-12,351069.3774952185,06037100016,31080
PROP000021,2019-01-24,222132.16841271968,06037100001,31080
PROP000022,2019-01-01,343737.13440018345,06037100001,31080
PROP000022,2020-07-30,375078.9311743521,06037100001,31080
PROP000023,2017-01-06,420669.8796315519,06037100003,31080
PROP000024,2017-01-09,392468.0389830415,06037100019,31080
PROP000024,2018-10-08,427263.48052570753,06037100019,31080
PROP000024,2019-12-06,469353.3310212307,06037100019,31080
PROP000024,2020-12-29,503196.7128078116,06037100019,31080
PROP000025,2018-07-20,764313.9586937624,06037100002,31080
PROP000025,2021-02-19,921736.0877440231,06037100002,31080
PROP000026,2016-03-07,595990.4276205074,06037100017,31080
PROP000026,2020-06-12,737922.7408410189,06037100017,31080
PROP000027,2018-05-05,729581.8059136039,06037100016,31080
PROP000028,2017-03-20,732251.8545590704,06037100008,31080
PROP000029,2017-01-08,671204.3906683661,06037100000,31080
PROP000029,2020-09-10,703851.5277503101,06037100000,31080
PROP000030,2016-02-02,615137.118615616,06037100002,31080
PROP000030,2019-09-10,794172.8329844264,06037100002,31080
PROP000030,2021-08-02,840762.190860427,06037100002,31080
PROP000031,2017-01-01,525524.1383329396,06037100019,31080
PROP000031,2020-01-13,637563.4941492996,06037100019,31080
PROP000032,2019-03-22,743659.2726311324,06037100013,31080
PROP000032,2021-12-15,908803.8994761701,06037100013,31080
PROP000033,2019-12-16,368463.41746451345,06037100014,31080
PROP000033,2021-01-19,377825.16741775785,06037100014,31080
PROP000034,2018-12-14,748918.6341322691,06037100016,31080
PROP000035,2019-08-17,531658.980101294,06037100002,31080
PROP000036,2019-05-23,361084.9141340941,06037100000,31080
PROP000037,2015-10-22,617617.8780049838,06037100002,31080
PROP000038,2016-06-23,284050.4091419144,06037100007,31080
PROP000039,2015-08-01,281972.7988652173,06037100009,31080
PROP000039,2019-06-01,297375.11889284145,06037100009,31080
PROP000040,2019-12-26,203110.91766439207,06037100017,31080
PROP000041,2018-03-23,216570.06312422283,06037100019,31080
PROP000041,2021-07-15,262193.35333199205,06037100019,31080
PROP000042,2019-06-26,716242.7709870052,06037100018,31080
